DATE,NCBCMDPMVCE
1945-10-01,43.0619630553
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,51.2728142815
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,59.6954005945
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,66.7200805292
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,62.0233515999
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,55.60339758
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,53.4233369749
1952-01-01,52.6649432695
1952-04-01,51.2479335424
1952-07-01,52.5966290152
1952-10-01,58.036481648
1953-01-01,60.4704980748
1953-04-01,65.2790674517
1953-07-01,68.3339912874
1953-10-01,61.944963099
1954-01-01,57.704015076
1954-04-01,52.2464703533
1954-07-01,47.486251943
1954-10-01,47.6509596545
1955-01-01,46.3682763511
1955-04-01,42.2936425916
1955-07-01,40.1969010561
1955-10-01,41.4441665362
1956-01-01,39.4913170183
1956-04-01,41.9391064618
1956-07-01,43.6554706806
1956-10-01,41.3457568939
1957-01-01,44.698533503
1957-04-01,42.6022606493
1957-07-01,48.014439085
1957-10-01,49.0878531005
1958-01-01,46.8230987986
1958-04-01,44.2519850073
1958-07-01,40.0194911505
1958-10-01,39.4139558937
1959-01-01,38.8088037596
1959-04-01,38.078858477
1959-07-01,39.1017818717
1959-10-01,37.7308668227
1960-01-01,40.88885823
1960-04-01,40.6805322361
1960-07-01,44.1728167344
1960-10-01,39.870188916
1961-01-01,35.4638751577
1961-04-01,35.8860199154
1961-07-01,35.0232986767
1961-10-01,34.9544973498
1962-01-01,35.9318102595
1962-04-01,48.1410399336
1962-07-01,45.9581603123
1962-10-01,38.5247534804
1963-01-01,36.7717982952
1963-04-01,35.7208692355
1963-07-01,34.5911688701
1963-10-01,37.3962589356
1964-01-01,35.4929387113
1964-04-01,35.1597697373
1964-07-01,34.3887422125
1964-10-01,34.4212921729
1965-01-01,34.3447258163
1965-04-01,36.6765418053
1965-07-01,34.2108716144
1965-10-01,33.3742469815
1966-01-01,35.2335237415
1966-04-01,38.2608082181
1966-07-01,43.3073176694
1966-10-01,42.5127780116
1967-01-01,38.1503350172
1967-04-01,38.3615313634
1967-07-01,36.7735777426
1967-10-01,35.8378680682
1968-01-01,40.2145955323
1968-04-01,36.9573814975
1968-07-01,37.8365693109
1968-10-01,33.9291890103
1969-01-01,36.4895090665
1969-04-01,39.2169262613
1969-07-01,41.6498650135
1969-10-01,45.2262092263
1970-01-01,49.9029663493
1970-04-01,64.7273176834
1970-07-01,56.2166383296
1970-10-01,51.7501496066
1971-01-01,47.7485518628
1971-04-01,48.7208811652
1971-07-01,50.4120103341
1971-10-01,47.6157274836
1972-01-01,46.0257124152
1972-04-01,47.0424590993
1972-07-01,46.7581739091
1972-10-01,41.8155943999
1973-01-01,45.7878377722
1973-04-01,51.0934462547
1973-07-01,50.1645533704
1973-10-01,61.4592492004
1974-01-01,65.0515039579
1974-04-01,73.206233958
1974-07-01,99.7207098007
1974-10-01,99.1902389537
1975-01-01,81.3067917968
1975-04-01,71.0957264566
1975-07-01,80.5023364824
1975-10-01,75.8681218788
1976-01-01,66.3505046056
1976-04-01,66.4087957625
1976-07-01,66.6349326008
1976-10-01,66.2510405526
1977-01-01,73.5806777206
1977-04-01,73.6959375663
1977-07-01,78.547887106
1977-10-01,84.282864169
1978-01-01,91.7001176164
1978-04-01,88.0592304079
1978-07-01,83.1838711814
1978-10-01,89.4703036021
1979-01-01,86.6551877162
1979-04-01,88.5130174725
1979-07-01,85.0885991338
1979-10-01,83.9494818765
1980-01-01,91.4917819658
1980-04-01,81.8383100946
1980-07-01,73.5297260798
1980-10-01,68.3050024583
1981-01-01,69.3587694928
1981-04-01,74.2712400652
1981-07-01,89.2649157989
1981-10-01,84.7594039887
1982-01-01,98.1138699469
1982-04-01,102.4355553267
1982-07-01,95.5347176019
1982-10-01,81.5089688196
1983-01-01,75.6831947475
1983-04-01,68.2150582257
1983-07-01,70.6868828777
1983-10-01,76.5087038874
1984-01-01,84.575905914
1984-04-01,92.8375598166
1984-07-01,90.1049970218
1984-10-01,93.8638060793
1985-01-01,88.9420355276
1985-04-01,87.5916424286
1985-07-01,94.9263523211
1985-10-01,85.4993009193
1986-01-01,78.7615252021
1986-04-01,77.5946952285
1986-07-01,87.985978171
1986-10-01,83.2050060011
1987-01-01,70.5084252657
1987-04-01,70.2829968933
1987-07-01,67.7453648828
1987-10-01,89.7182333473
1988-01-01,87.0395607843
1988-04-01,86.0597618387
1988-07-01,89.2937275112
1988-10-01,88.5511111166
1989-01-01,87.0773347563
1989-04-01,84.1617249233
1989-07-01,78.7557800603
1989-10-01,78.2266181036
1990-01-01,83.5815635628
1990-04-01,81.3887553958
1990-07-01,96.8979518409
1990-10-01,87.467924932
1991-01-01,75.9103044558
1991-04-01,76.9607712171
1991-07-01,72.3869058368
1991-10-01,63.1899847173
1992-01-01,65.1669297211
1992-04-01,65.8896018758
1992-07-01,64.2011545339
1992-10-01,58.3557753114
1993-01-01,57.7756739785
1993-04-01,58.4469532386
1993-07-01,57.440085661
1993-10-01,55.5655637903
1994-01-01,59.7517987864
1994-04-01,61.891240236
1994-07-01,59.1944092135
1994-10-01,60.2074034928
1995-01-01,57.2539520753
1995-04-01,54.0929247139
1995-07-01,50.5680804984
1995-10-01,48.3081589081
1996-01-01,47.0107795931
1996-04-01,45.7653231661
1996-07-01,45.7759784972
1996-10-01,45.4637706636
1997-01-01,46.1487626967
1997-04-01,40.7739292718
1997-07-01,38.5717182174
1997-10-01,38.8707912127
1998-01-01,35.0989830645
1998-04-01,35.5001320923
1998-07-01,39.9611971065
1998-10-01,34.0733365775
1999-01-01,34.433711192
1999-04-01,32.2660061515
1999-07-01,34.5609377982
1999-10-01,28.6919380315
2000-01-01,27.8897087156
2000-04-01,29.9307838718
2000-07-01,30.7437860356
2000-10-01,35.5568906851
2001-01-01,40.6286275294
2001-04-01,38.3241694767
2001-07-01,46.0481279307
2001-10-01,40.9077680576
2002-01-01,40.8658777565
2002-04-01,47.269040885
2002-07-01,56.7018872307
2002-10-01,53.2027359318
2003-01-01,54.7450894739
2003-04-01,47.6923460324
2003-07-01,46.1304292807
2003-10-01,41.4678233809
2004-01-01,40.9770929329
2004-04-01,40.1768379402
2004-07-01,41.5645769602
2004-10-01,38.4372477465
2005-01-01,38.9333669327
2005-04-01,38.8895411897
2005-07-01,37.9421385908
2005-10-01,38.640445853
2006-01-01,36.7258370283
2006-04-01,39.1677740913
2006-07-01,38.5060307893
2006-10-01,37.4745443409
2007-01-01,36.7579644077
2007-04-01,36.0364364251
2007-07-01,36.371546103
2007-10-01,38.722636238
2008-01-01,42.8368770062
2008-04-01,44.1479406789
2008-07-01,50.0267945667
2008-10-01,61.8571380412
2009-01-01,67.778136169
2009-04-01,59.3730703962
2009-07-01,51.2113674638
2009-10-01,47.2709800522
2010-01-01,45.2762032082
2010-04-01,49.9633464832
2010-07-01,45.4969889643
2010-10-01,40.8927210418
2011-01-01,38.6807566431
2011-04-01,39.4311489583
2011-07-01,46.6003241028
2011-10-01,43.1950362814
2012-01-01,39.0468631268
2012-04-01,40.544081866
2012-07-01,39.2866349522
2012-10-01,40.6300026363
2013-01-01,36.4421754055
2013-04-01,36.4263605682
2013-07-01,35.1082982485
2013-10-01,32.8842212125
2014-01-01,32.4840528331
2014-04-01,31.4058798196
2014-07-01,32.1261118661
2014-10-01,31.5250088279
2015-01-01,31.9096062587
2015-04-01,32.9977325125
2015-07-01,36.2316908167
2015-10-01,35.0680431434
2016-01-01,35.2082249283
2016-04-01,34.7752949072
2016-07-01,34.3368403121
2016-10-01,33.8842168445
2017-01-01,32.9096221185
2017-04-01,32.9407169362
2017-07-01,32.4698290197
2017-10-01,31.3142868847
2018-01-01,31.8725270003
2018-04-01,31.9940152327
2018-07-01,30.4969093257
2018-10-01,36.2015240485
2019-01-01,32.441457363
2019-04-01,31.9527586015
2019-07-01,32.3726803269
2019-10-01,29.8516603161
