DATE,BAMLH0A1HYBB
12/31/1996,1.95
1/1/1997,.
1/2/1997,1.92
1/3/1997,1.94
1/6/1997,1.94
1/7/1997,1.93
1/8/1997,1.91
1/9/1997,1.96
1/10/1997,2.02
1/13/1997,1.9
1/14/1997,1.92
1/15/1997,1.91
1/16/1997,1.88
1/17/1997,1.88
1/20/1997,1.88
1/21/1997,1.9
1/22/1997,1.86
1/23/1997,1.84
1/24/1997,1.82
1/27/1997,1.79
1/28/1997,1.81
1/29/1997,1.81
1/30/1997,1.82
1/31/1997,1.86
2/3/1997,1.87
2/4/1997,1.88
2/5/1997,1.85
2/6/1997,1.84
2/7/1997,1.86
2/10/1997,1.84
2/11/1997,1.84
2/12/1997,1.83
2/13/1997,1.84
2/14/1997,1.84
2/17/1997,.
2/18/1997,1.82
2/19/1997,1.8
2/20/1997,1.76
2/21/1997,1.77
2/24/1997,1.75
2/25/1997,1.73
2/26/1997,1.66
2/27/1997,1.66
2/28/1997,1.68
3/3/1997,1.66
3/4/1997,1.64
3/5/1997,1.65
3/6/1997,1.65
3/7/1997,1.67
3/10/1997,1.66
3/11/1997,1.65
3/12/1997,1.63
3/13/1997,1.59
3/14/1997,1.61
3/17/1997,1.61
3/18/1997,1.61
3/19/1997,1.6
3/20/1997,1.6
3/21/1997,1.6
3/24/1997,1.61
3/25/1997,1.61
3/26/1997,1.61
3/27/1997,1.58
3/28/1997,.
3/31/1997,1.66
4/1/1997,1.71
4/2/1997,1.72
4/3/1997,1.73
4/4/1997,1.72
4/7/1997,1.75
4/8/1997,1.73
4/9/1997,1.73
4/10/1997,1.72
4/11/1997,1.69
4/14/1997,1.7
4/15/1997,1.74
4/16/1997,1.72
4/17/1997,1.73
4/18/1997,1.73
4/21/1997,1.71
4/22/1997,1.74
4/23/1997,1.71
4/24/1997,1.68
4/25/1997,1.68
4/28/1997,1.69
4/29/1997,1.75
4/30/1997,1.75
5/1/1997,1.74
5/2/1997,1.73
5/5/1997,1.72
5/6/1997,1.71
5/7/1997,1.67
5/8/1997,1.69
5/9/1997,1.7
5/12/1997,1.69
5/13/1997,1.65
5/14/1997,1.62
5/15/1997,1.64
5/16/1997,1.62
5/19/1997,1.62
5/20/1997,1.63
5/21/1997,1.61
5/22/1997,1.59
5/23/1997,1.6
5/26/1997,.
5/27/1997,1.57
5/28/1997,1.57
5/29/1997,1.57
5/30/1997,1.61
5/31/1997,1.64
6/2/1997,1.62
6/3/1997,1.61
6/4/1997,1.59
6/5/1997,1.59
6/6/1997,1.64
6/9/1997,1.56
6/10/1997,1.54
6/11/1997,1.54
6/12/1997,1.56
6/13/1997,1.56
6/16/1997,1.53
6/17/1997,1.53
6/18/1997,1.55
6/19/1997,1.55
6/20/1997,1.58
6/23/1997,1.54
6/24/1997,1.54
6/25/1997,1.55
6/26/1997,1.56
6/27/1997,1.57
6/30/1997,1.52
7/1/1997,1.54
7/2/1997,1.53
7/3/1997,1.62
7/4/1997,.
7/7/1997,1.61
7/8/1997,1.6
7/9/1997,1.59
7/10/1997,1.58
7/11/1997,1.55
7/14/1997,1.49
7/15/1997,1.48
7/16/1997,1.48
7/17/1997,1.49
7/18/1997,1.48
7/21/1997,1.46
7/22/1997,1.49
7/23/1997,1.44
7/24/1997,1.45
7/25/1997,1.44
7/28/1997,1.45
7/29/1997,1.46
7/30/1997,1.49
7/31/1997,1.51
8/1/1997,1.41
8/4/1997,1.41
8/5/1997,1.41
8/6/1997,1.43
8/7/1997,1.41
8/8/1997,1.36
8/11/1997,1.36
8/12/1997,1.39
8/13/1997,1.39
8/14/1997,1.37
8/15/1997,1.41
8/18/1997,1.45
8/19/1997,1.45
8/20/1997,1.45
8/21/1997,1.43
8/22/1997,1.38
8/25/1997,1.37
8/26/1997,1.38
8/27/1997,1.37
8/28/1997,1.43
8/29/1997,1.41
8/31/1997,1.44
9/1/1997,.
9/2/1997,1.46
9/3/1997,1.44
9/4/1997,1.44
9/5/1997,1.44
9/8/1997,1.43
9/9/1997,1.44
9/10/1997,1.39
9/11/1997,1.4
9/12/1997,1.46
9/15/1997,1.46
9/16/1997,1.51
9/17/1997,1.47
9/18/1997,1.44
9/19/1997,1.43
9/22/1997,1.41
9/23/1997,1.43
9/24/1997,1.46
9/25/1997,1.42
9/26/1997,1.41
9/29/1997,1.42
9/30/1997,1.46
10/1/1997,1.47
10/2/1997,1.49
10/3/1997,1.48
10/6/1997,1.49
10/7/1997,1.49
10/8/1997,1.4
10/9/1997,1.42
10/10/1997,1.42
10/13/1997,1.48
10/14/1997,1.41
10/15/1997,1.4
10/16/1997,1.4
10/17/1997,1.39
10/20/1997,1.39
10/21/1997,1.39
10/22/1997,1.39
10/23/1997,1.45
10/24/1997,1.47
10/27/1997,1.61
10/28/1997,1.61
10/29/1997,1.61
10/30/1997,1.66
10/31/1997,1.68
11/3/1997,1.62
11/4/1997,1.6
11/5/1997,1.59
11/6/1997,1.61
